"","df_rent.Response_X","df_rent.Response_Y","df_rent.FarePerSquare","df_rent.cata"
"78",121.530343,25.042799,4166.666667,"high"
"79",121.533245,25.04458,2700,"high"
"80",121.544131,25.047256,2400,"high"
"81",121.548478,25.047618,8333.333333,"high"
"82",121.54399,25.041391,9750,"high"
"83",121.495606,25.027591,580,"low"
"84",121.5501,25.057935,2083.333333,"low"
"85",121.509179,25.028374,960,"high"
"86",121.503424,25.046168,1777.777778,"low"
"87",121.553298,25.047912,3023.255814,"high"
"88",121.523746,25.045626,1714.285714,"high"
"89",121.510995,25.04667,2209.302326,"high"
"90",121.556823,25.021437,1260.869565,"high"
"91",121.503424,25.046168,2181.818182,"low"
"92",121.54399,25.041391,11666.66667,"high"
"93",121.522755,25.064856,992.3664122,"high"
"94",121.527785,25.053913,1616.666667,"high"
"95",121.519611,25.046198,5000,"high"
"96",121.538203,25.033078,3750,"high"
"97",121.50778,25.045814,4600,"low"
"98",121.54399,25.041391,5000,"high"
"99",121.521424,25.062585,2500,"high"
"100",121.537921,25.062144,5294.117647,"high"
"101",121.520682,25.049055,2400,"low"
"102",121.544882,25.038231,5000,"high"
"103",121.547783,25.040462,5428.571429,"high"
"104",121.543453,25.049248,2333.333333,"high"
"105",121.530719,25.06065,1666.666667,"high"
"106",121.558091,25.05132,5000,"low"
"107",121.539794,25.058057,1500,"low"
"108",121.539794,25.058057,1571.428571,"low"
"109",121.559719,25.031618,1040,"high"
"110",121.543792,25.032595,1250,"high"
"111",121.544131,25.047256,5333.333333,"high"
"112",121.553298,25.047912,3800,"high"
"113",121.529402,25.02486,6666.666667,"high"
"114",121.533131,25.045912,3225.806452,"high"
"115",121.530704,25.061146,3225.806452,"high"
"116",121.521814,25.052535,4600,"low"
"117",121.569086,25.038251,2000,"high"
"118",121.552583,25.031251,4750,"high"
"119",121.528652,25.024416,3200,"high"
"120",121.563807,25.042237,4000,"high"
"121",121.537948,25.051784,1600,"high"
"122",121.556862,25.043112,4800,"high"
"123",121.523746,25.045626,2209.302326,"high"
"124",121.542028,25.047496,1750,"high"
"125",121.546641,25.043676,2222.222222,"high"
"126",121.558111,25.048117,3333.333333,"low"
"127",121.537372,25.056105,5000,"high"
"128",121.549328,25.047842,4250,"low"
"129",121.551437,25.042759,11666.66667,"high"
"130",121.565242,25.041292,5000,"high"
"131",121.565242,25.041292,4800,"high"
"132",121.533477,25.038445,1062.5,"high"
"133",121.529111,25.04429,5000,"high"
"134",121.537948,25.051784,5000,"low"
"135",121.524659,25.023391,2800,"high"
"136",121.517531,25.045727,5750,"high"
"137",121.565242,25.041292,3933.333333,"high"
"138",121.537372,25.056105,4814.814815,"high"
"139",121.546008,25.044847,5500,"high"
"140",121.544131,25.047256,5571.428571,"high"
"141",121.546008,25.044847,5866.666667,"high"
"142",121.518813,25.031389,3266.666667,"high"
"143",121.523746,25.045626,1622.222222,"high"
"144",121.559289,25.032233,1923.076923,"high"
"145",121.52359,25.054858,2000,"high"
"146",121.547581,25.044095,3333.333333,"high"
"147",121.540903,25.031052,2073.170732,"high"
"148",121.552049,25.043183,6000,"high"
"149",121.544127,25.033562,2000,"high"
"150",121.545672,25.060064,1571.428571,"low"
"151",121.545672,25.060064,1204.188482,"low"
"152",121.522373,25.052663,2422.089456,"high"
"153",121.556065,25.022187,1534.598214,"high"
"154",121.51498,25.052765,887.5083204,"low"
"155",121.544127,25.033562,3611.111111,"high"
"156",121.521331,25.053009,1973.684211,"high"
"157",121.544882,25.038231,4347.826087,"high"
"158",121.55643,25.058239,6511.627907,"low"
"159",121.544439,25.044059,4333.333333,"high"
"160",121.544439,25.044059,3200,"high"
"161",121.553833,25.038851,3818.181818,"high"
"162",121.582548,25.046927,3857.142857,"low"
"163",121.570065,25.050049,2692.307692,"high"
"164",121.517376,25.034307,4000,"high"
"165",121.521164,25.029148,7501.636364,"high"
"166",121.570065,25.050049,2800,"high"
"167",121.544735,25.049833,1527.777778,"low"
"168",121.527785,25.053913,1612.903226,"high"
"169",121.552883,25.041847,2282.608696,"high"
"170",121.559289,25.032233,3915.662651,"high"
"171",121.553543,25.043749,2000,"high"
"172",121.513491,25.042408,5000,"high"
"173",121.507953,25.042645,8247.42268,"low"
"174",121.52906,25.096419,10121.45749,"low"
"175",121.536178,25.068455,1760,"high"
"176",121.515575,25.116009,6666.666667,"low"
"177",121.543792,25.032595,4500,"high"
"178",121.551093,25.046082,2600,"low"
"179",121.52314,25.10633,3333.333333,"low"
"180",121.555905,25.000134,10909.09091,"medium"
"181",121.525764,25.086654,1960,"low"
"182",121.524731,25.058197,1694.915254,"high"
"183",121.544268,25.048715,2337.44856,"low"
"184",121.530973,25.022268,6400,"high"
"185",121.544268,25.048715,4509.803922,"high"
"186",121.544268,25.048715,1197.368421,"low"
"187",121.524658,25.035516,2000,"high"
"188",121.55323,25.031656,1100,"high"
"189",121.53285,25.015886,3120,"high"
"190",121.544098,25.031413,2900,"high"
"191",121.524659,25.023391,5000,"high"
"192",121.509372,25.04762,8000,"low"
"193",121.530343,25.042799,2833.333333,"high"
"194",121.521814,25.052535,3750,"low"
"195",121.553298,25.047912,6000,"high"
"196",121.524659,25.023391,2200,"high"
"197",121.557644,25.047772,3200,"high"
"198",121.558111,25.048117,4266.666667,"low"
"199",121.55643,25.058239,3428.571429,"low"
"200",121.558091,25.05132,3750,"low"
"201",121.528271,25.052291,3000,"high"
"202",121.528271,25.052291,1000,"high"
"203",121.558111,25.048117,1500,"low"
"204",121.524659,25.023391,3920,"high"
"205",121.55801,25.048635,2500,"low"
"206",121.528652,25.024416,4000,"high"
"207",121.534659,25.049634,6333.333333,"high"
"208",121.54399,25.041391,10000,"high"
"209",121.55801,25.048635,3240,"low"
"210",121.550678,25.039158,2700,"high"
"211",121.559289,25.032233,2400,"high"
"212",121.529402,25.02486,6000,"high"
"213",121.532475,25.043796,2272.727273,"high"
"214",121.543792,25.032595,4000,"high"
"215",121.559719,25.031618,3500,"high"
"216",121.559289,25.032233,1000,"high"
"217",121.523931,25.060435,5000,"high"
"218",121.54399,25.041391,5000,"high"
"219",121.54704,25.059449,1700,"low"
"220",121.548254,25.036737,2266.666667,"high"
"221",121.539794,25.058057,2636.203866,"low"
"222",121.554416,25.049372,2000,"low"
"223",121.525585,25.038065,2539.68254,"high"
"224",121.548478,25.047618,6818.181818,"high"
"225",121.510677,25.110597,714.2857143,"low"
"226",121.537372,25.056105,3405.405405,"high"
"227",121.507953,25.042645,2000,"low"
"228",121.543792,25.032595,4000,"high"
"229",121.521748,25.063948,1513.513514,"high"
"230",121.583578,25.069284,1807.228916,"medium"
"231",121.524659,25.023391,1750,"high"
"232",121.54399,25.041391,4333.333333,"high"
"233",121.530307,25.048402,2352.941176,"high"
"234",121.531493,25.025918,3333.333333,"high"
"235",121.54399,25.041391,16826.92308,"high"
"236",121.54399,25.041391,10363.63636,"high"
"237",121.515833,25.049103,1000,"low"
"238",121.515833,25.049103,1000,"low"
"239",121.521164,25.029148,3488.372093,"high"
"240",121.547798,25.024482,2090.909091,"high"
"241",121.554355,25.031859,4666.666667,"high"
"242",121.548478,25.047618,8000,"high"
"243",121.517376,25.034307,7500,"high"
"244",121.553298,25.047912,7800,"high"
"245",121.533245,25.04458,3200,"low"
"246",121.582548,25.046927,5750,"low"
"247",121.550678,25.039158,6857.142857,"high"
"248",121.526567,25.10302,2394.366197,"low"
"249",121.511108,25.079065,785.7142857,"low"
"250",121.549185,25.031523,7000,"high"
"251",121.534549,25.025397,4545.454545,"high"
"252",121.54399,25.041391,12000,"high"
"253",121.527284,25.033148,11666.66667,"high"
"254",121.52906,25.096419,4888.888889,"low"
"255",121.529934,25.05022,2228.915663,"high"
"256",121.553298,25.047912,3333.333333,"high"
"257",121.528652,25.024416,4000,"high"
"258",121.568165,25.045872,2407.407407,"high"
"259",121.52906,25.096419,4074.074074,"low"
"260",121.522755,25.064856,1250,"high"
"261",121.544268,25.048715,6730.769231,"high"
"262",121.521924,25.079789,1600,"low"
"263",121.538855,25.078913,4545.454545,"high"
"264",121.529727,25.033236,3333.333333,"high"
"265",121.537948,25.051784,1900.662252,"low"
"266",121.559289,25.032233,1440,"high"
"267",121.558111,25.048117,1409.090909,"low"
"268",121.521046,25.089794,4777.070064,"low"
"269",121.546008,25.044847,4575,"high"
"270",121.557644,25.047772,3409.090909,"high"
"271",121.529111,25.04429,6500,"high"
"272",121.565242,25.041292,1097.560976,"high"
"273",121.517376,25.034307,2250,"high"
"274",121.546008,25.044847,2466.666667,"high"
"275",121.524659,25.023391,1888.888889,"high"
"276",121.521924,25.079789,1357.142857,"low"
"277",121.524886,25.086462,15882.35294,"low"
"278",121.524886,25.086462,11571.42857,"low"
"279",121.54399,25.041391,10204.08163,"high"
"280",121.526567,25.10302,1384.615385,"low"
"281",121.524886,25.086462,17234.04255,"low"
"282",121.544882,25.038231,3230.769231,"high"
"283",121.544131,25.047256,3181.818182,"high"
"284",121.553598,25.0434,10500,"high"
"285",121.55643,25.058239,5952.380952,"low"
"286",121.55643,25.058239,2250,"low"
"287",121.51166,25.054089,1333.333333,"low"
"288",121.537596,25.008783,2720,"medium"
"289",121.537948,25.051784,1900,"low"
"290",121.515833,25.049103,1492.537313,"low"
"291",121.54399,25.041391,7804.878049,"high"
"292",121.544131,25.047256,5535.714286,"high"
"293",121.53285,25.015886,17500,"high"
"294",121.523746,25.045626,1730.769231,"high"
"295",121.522755,25.064856,1774.193548,"high"
"296",121.546008,25.044847,20608.69565,"high"
"297",121.511108,25.079065,833.3333333,"low"
"298",121.525764,25.086654,10000,"low"
"299",121.553298,25.047912,8333.333333,"high"
"300",121.553298,25.047912,5069.370331,"high"
"301",121.54945,25.043615,8636.363636,"high"
"302",121.544268,25.048715,4500,"low"
"303",121.519611,25.046198,2781.25,"high"
"304",121.53285,25.015886,28333.33333,"high"
"305",121.568165,25.045872,2521.73913,"high"
"306",121.533245,25.04458,2333.333333,"low"
"307",121.539351,25.000381,1098.837209,"medium"
"308",121.558803,24.988865,5833.333333,"medium"
"309",121.524659,25.023391,2947.368421,"high"
"310",121.53338,25.042029,5533.333333,"high"
"311",121.547131,25.04176,5357.142857,"high"
"312",121.553298,25.047912,4130.434783,"high"
"313",121.553706,25.023554,2000,"high"
"314",121.534549,25.025397,6000,"high"
"315",121.546117,25.059831,2444.444444,"high"
"316",121.550928,25.051424,2000,"low"
"317",121.54945,25.043615,5813.953488,"high"
"318",121.544131,25.047256,3121.95122,"high"
"319",121.505962,25.046706,3043.478261,"low"
"320",121.551268,25.028149,3000,"high"
"321",121.524659,25.023391,1700,"high"
"322",121.549185,25.031523,8514.285714,"high"
"323",121.53285,25.015886,11000,"high"
"324",121.523746,25.045626,4285.714286,"high"
"325",121.524659,25.023391,7344.871254,"high"
"326",121.54399,25.041391,3151.515152,"high"
"327",121.558111,25.048117,1195.121951,"low"
"328",121.565534,25.050247,1600,"high"
"329",121.544131,25.047256,8888.888889,"high"
"330",121.606241,25.074329,1057.736721,"medium"
"331",121.519611,25.046198,2000,"high"
"332",121.544127,25.033562,5185.185185,"high"
"333",121.544131,25.047256,6666.666667,"low"
"334",121.537596,25.008783,2720,"medium"
"335",121.5501,25.057935,6000,"low"
"336",121.575494,25.034424,1500,"high"
"337",121.553298,25.047912,4210.526316,"high"
"338",121.553298,25.047912,3333.333333,"high"
"339",121.566401,25.043553,1250,"high"
"340",121.522373,25.052663,2127.659574,"high"
"341",121.553298,25.047912,7692.307692,"high"
"342",121.553298,25.047912,1333.333333,"high"
"343",121.544882,25.038231,7384.615385,"high"
"344",121.561134,25.030699,2250,"high"
"345",121.521814,25.052535,8260.869565,"low"
"346",121.544127,25.033562,3584.90566,"high"
"347",121.522919,25.05203,3873.36673,"high"
"348",121.564519,25.05208,1953.601954,"low"
"349",121.525404,25.087005,7142.857143,"low"
"350",121.557644,25.047772,2307.692308,"high"
"351",121.533172,25.044697,1846.153846,"high"
"352",121.550928,25.051424,3266.666667,"low"
"353",121.522919,25.05203,1963.190184,"high"
"354",121.547996,25.038654,1986.30137,"high"
"355",121.527815,25.049199,1500,"high"
"356",121.54399,25.041391,2537.313433,"high"
"357",121.544528,25.032233,1607.142857,"high"
"358",121.525764,25.086654,5454.545455,"low"
"359",121.526324,25.041449,3833.333333,"high"
"360",121.538203,25.033078,3500,"high"
"361",121.551437,25.042759,2894.736842,"high"
"362",121.529402,25.02486,6000,"high"
"363",121.520186,25.107284,2000,"low"
"364",121.558091,25.05132,2000,"low"
"365",121.544127,25.033562,2238.80597,"high"
"366",121.545591,25.040403,2941.176471,"high"
"367",121.552583,25.031251,5416.666667,"high"
"368",121.561134,25.030699,3500,"high"
"369",121.530307,25.048402,3333.333333,"high"
"370",121.561134,25.030699,2321.428571,"high"
"371",121.544131,25.047256,3500,"high"
"372",121.544268,25.048715,6000,"high"
"373",121.529165,25.05787,2500,"high"
"374",121.518813,25.031389,3333.333333,"high"
"375",121.548478,25.047618,3600,"high"
"376",121.544268,25.048715,3333.333333,"low"
"377",121.537948,25.051784,3000,"low"
"378",121.537948,25.051784,2127.659574,"high"
"379",121.54399,25.041391,2687.5,"high"
"380",121.543792,25.032595,3500,"high"
"381",121.565242,25.041292,5000,"high"
"382",121.532475,25.043796,3333.333333,"high"
"383",121.612784,25.068946,5833.333333,"medium"
"384",121.561134,25.030699,2900,"high"
"385",121.528652,25.024416,7666.666667,"high"
"386",121.565242,25.041292,2500,"high"
"387",121.558091,25.05132,4000,"low"
"388",121.545957,25.031498,3375,"high"
"389",121.536039,25.025688,3375,"high"
"390",121.524659,25.023391,6923.076923,"high"
"391",121.577392,25.047274,2080,"high"
"392",121.521164,25.029148,700,"high"
"393",121.521924,25.079789,2000,"low"
"394",121.536729,25.046543,4000,"high"
"395",121.565922,24.988555,1724.137931,"medium"
"396",121.52359,25.054858,1000,"low"
"397",121.503424,25.046168,5769.230769,"low"
"398",121.555905,25.000134,6500,"medium"
"399",121.524731,25.058197,1000,"high"
"400",121.565534,25.050247,1840,"high"
"401",121.548478,25.047618,3703.703704,"high"
"402",121.54399,25.041391,7035.714286,"high"
"403",121.543792,25.032595,3333.333333,"high"
"404",121.522373,25.052663,6428.571429,"high"
"405",121.522052,25.036829,5000,"high"
"406",121.517376,25.034307,5714.285714,"high"
"407",121.523746,25.045626,17000,"high"
"408",121.559719,25.031618,1444.444444,"high"
"409",121.521924,25.079789,4199.160168,"low"
"410",121.55801,25.048635,1666.666667,"low"
"411",121.547798,25.024482,3666.666667,"high"
"412",121.521164,25.029148,7501.818182,"high"
"413",121.521814,25.052535,1833.333333,"low"
"414",121.544131,25.047256,5238.095238,"high"
"415",121.54399,25.041391,2250,"high"
"416",121.548478,25.047618,10000,"high"
"417",121.537921,25.062144,2921.641791,"high"
"418",121.548478,25.047618,6428.571429,"high"
"419",121.537921,25.062144,3900,"high"
"420",121.528752,25.016064,6200,"high"
"421",121.556846,25.029444,1416.666667,"high"
"422",121.533096,25.03379,5263.157895,"high"
"423",121.533096,25.03379,3685.714286,"high"
"424",121.533096,25.03379,7681.818182,"high"
"425",121.565536,25.081577,3008.130081,"medium"
"426",121.519611,25.046198,7291.666667,"high"
"427",121.54399,25.041391,4347.826087,"high"
"428",121.567043,25.033241,1208.333333,"high"
"429",121.606569,25.072795,2857.142857,"medium"
"430",121.544882,25.038231,3444.444444,"high"
"431",121.544882,25.038231,3709.677419,"high"
"432",121.507974,25.044561,3015.873016,"low"
"433",121.582548,25.046927,2500,"low"
"434",121.559289,25.032233,1785.714286,"high"
"435",121.553298,25.047912,4000,"high"
"436",121.507974,25.044561,2083.333333,"low"
"437",121.537948,25.051784,2500,"low"
"438",121.554355,25.031859,10000,"high"
"439",121.549328,25.047842,3125,"low"
"440",121.549185,25.031523,2040.816327,"high"
"441",121.529018,25.039667,3500,"high"
"442",121.530307,25.048402,5277.777778,"high"
"443",121.5501,25.057935,5000,"low"
"444",121.518813,25.031389,1162.790698,"high"
"445",121.557644,25.047772,1711.229947,"high"
"446",121.500708,25.030995,2068.965517,"low"
"447",121.565242,25.041292,8684.210526,"high"
"448",121.532475,25.043796,1652.892562,"high"
"449",121.548254,25.036737,1865.671642,"high"
"450",121.537921,25.062144,10000,"high"
"451",121.550678,25.039158,2083.333333,"high"
"452",121.553298,25.047912,6944.444444,"high"
"453",121.558091,25.05132,2222.222222,"low"
"454",121.525764,25.086654,6976.744186,"low"
"455",121.537948,25.051784,1900.2849,"low"
"456",121.557644,25.047772,4800,"high"
"457",121.528204,25.063079,1666.666667,"high"
"458",121.518434,25.025074,1268.292683,"high"
"459",121.555158,25.082957,2549.019608,"high"
"460",121.53285,25.015886,7272.727273,"high"
"461",121.522373,25.052663,1818.181818,"high"
"462",121.51166,25.054089,2500,"low"
"463",121.521046,25.089794,3467.40638,"low"
"464",121.558111,25.048117,2571.428571,"low"
"465",121.525585,25.038065,2000,"high"
"466",121.507974,25.044561,4545.454545,"low"
"467",121.509179,25.028374,1458.333333,"high"
"468",121.537921,25.062144,4230.769231,"high"
"469",121.549328,25.047842,1416.666667,"low"
"470",121.522755,25.064856,1571.428571,"high"
"471",121.567043,25.033241,3243.243243,"high"
"472",121.5501,25.057935,4375,"low"
"473",121.561134,25.030699,1909.090909,"high"
"474",121.54399,25.041391,2400,"high"
"475",121.520682,25.049055,10000,"low"
"476",121.550205,25.03291,2166.666667,"high"
"477",121.557644,25.047772,4166.666667,"high"
"478",121.557111,25.060134,3000,"low"
"479",121.533096,25.03379,6250,"high"
"480",121.54399,25.041391,6250,"high"
"481",121.546008,25.044847,6250,"high"
"482",121.539794,25.058057,1750,"low"
"483",121.530307,25.048402,2666.666667,"high"
"484",121.550678,25.039158,6333.333333,"high"
"485",121.544131,25.047256,5666.666667,"high"
"486",121.546008,25.044847,6500,"high"
"487",121.557644,25.047772,3750,"high"
"488",121.546008,25.044847,4333.333333,"high"
"489",121.544882,25.038231,4000,"high"
"490",121.55643,25.058239,1428.571429,"low"
"491",121.548478,25.047618,8333.333333,"high"
"492",121.5501,25.057935,6250,"low"
"493",121.537372,25.056105,2600,"high"
"494",121.548478,25.047618,2222.222222,"high"
"495",121.53285,25.015886,8000,"high"
"496",121.517376,25.034307,1111.111111,"high"
"497",121.544098,25.031413,1545.454545,"high"
"498",121.537948,25.051784,3365.384615,"low"
"499",121.559289,25.032233,2222.222222,"high"
"500",121.521748,25.063948,3593.314763,"high"
"501",121.563741,25.053855,2105.263158,"low"
"502",121.551437,25.042759,10000,"high"
"503",121.509932,25.03527,1893.491124,"low"
"504",121.550678,25.039158,5899.705015,"high"
"505",121.576432,25.062098,1345.945946,"medium"
"506",121.513668,25.113987,1878.398418,"low"
"507",121.619729,25.041184,907.4410163,"low"
"508",121.522014,25.103637,5017.561465,"low"
"509",121.532226,25.053959,3310.527477,"high"
"510",121.517099,25.050143,2240.812668,"low"
"511",121.554355,25.031859,9000,"high"
"512",121.538855,25.078913,3333.333333,"high"
"513",121.571582,25.050308,2666.666667,"low"
"514",121.524658,25.035516,6578.947368,"high"
"515",121.523221,25.026833,1700,"high"
"516",121.55323,25.031656,6333.333333,"high"
"517",121.533477,25.038445,2640,"high"
"518",121.544202,25.036159,5000,"high"
"519",121.546008,25.044847,5000,"high"
"520",121.557644,25.047772,2875,"high"
"521",121.520682,25.049055,10357.14286,"low"
"522",121.556136,25.024653,1135.135135,"high"
"523",121.548478,25.047618,6666.666667,"high"
"524",121.544127,25.033562,2500,"high"
"525",121.528271,25.052291,2500,"high"
"526",121.544882,25.038231,4666.666667,"high"
"527",121.536039,25.025688,1666.666667,"high"
"528",121.544202,25.036159,3375,"high"
"529",121.528271,25.052291,3333.333333,"high"
"530",121.558091,25.05132,7500,"low"
"531",121.544131,25.047256,2500,"high"
"532",121.568165,25.045872,1760,"high"
"533",121.553298,25.047912,6000,"high"
"534",121.533096,25.03379,3833.333333,"high"
"535",121.530343,25.042799,2666.666667,"high"
"536",121.5501,25.057935,6533.333333,"low"
"537",121.5501,25.057935,3750,"low"
"538",121.5501,25.057935,3750,"low"
"539",121.557644,25.047772,3500,"high"
"540",121.565242,25.041292,3666.666667,"high"
"541",121.534549,25.025397,1700,"high"
"542",121.544882,25.038231,4310.344828,"high"
"543",121.565242,25.041292,6000,"high"
"544",121.565242,25.041292,1733.333333,"high"
"545",121.565242,25.041292,5666.666667,"high"
"546",121.565242,25.041292,3333.333333,"high"
"547",121.529727,25.033236,6000,"high"
"548",121.548478,25.047618,9160,"high"
"549",121.554355,25.031859,4666.666667,"high"
"550",121.525764,25.086654,3000,"low"
"551",121.544268,25.048715,4166.666667,"low"
"552",121.524659,25.023391,3250,"high"
"553",121.533096,25.03379,3266.666667,"high"
"554",121.551437,25.042759,6533.333333,"high"
"555",121.52359,25.054858,1136.363636,"high"
"556",121.553298,25.047912,3333.333333,"high"
"557",121.539794,25.058057,2142.857143,"low"
"558",121.521814,25.052535,5000,"low"
"559",121.557644,25.047772,4000,"high"
"560",121.558091,25.05132,3000,"low"
"561",121.577392,25.047274,1100,"high"
"562",121.51166,25.054089,1000,"low"
"563",121.547662,25.042521,8000,"high"
"564",121.582548,25.046927,250,"low"
"565",121.54399,25.041391,2888.888889,"high"
"566",121.543792,25.032595,3750,"high"
"567",121.532475,25.043796,3428.571429,"high"
"568",121.528652,25.024416,5666.666667,"high"
"569",121.533096,25.03379,6250,"high"
"570",121.526567,25.10302,2625,"low"
"571",121.55643,25.058239,2800,"low"
"572",121.544268,25.048715,3000,"low"
"573",121.510995,25.04667,1309.52381,"high"
"574",121.565242,25.041292,6000,"high"
"575",121.552583,25.031251,3012.987013,"high"
"576",121.559719,25.031618,2714.285714,"high"
"577",121.53285,25.015886,5333.333333,"high"
"578",121.552583,25.031251,6600,"high"
"579",121.53285,25.015886,1666.666667,"high"
"580",121.590244,25.07776,1212.121212,"medium"
"581",121.552583,25.031251,6511.627907,"high"
"582",121.547798,25.024482,2678.571429,"high"
"583",121.574072,25.045126,1160,"high"
"584",121.544131,25.047256,3714.285714,"high"
"585",121.549328,25.047842,1230.769231,"low"
"586",121.543792,25.032595,3833.333333,"high"
"587",121.541724,24.994322,2692.307692,"medium"
"588",121.547798,25.024482,2685.714286,"high"
"589",121.524658,25.035516,8787.878788,"high"
"590",121.511271,25.042995,2400,"high"
"591",121.549328,25.047842,2307.692308,"low"
"592",121.537948,25.051784,5000,"low"
"593",121.557644,25.047772,2500,"low"
"594",121.544131,25.047256,3200,"high"
"595",121.568165,25.045872,4210.526316,"low"
"596",121.507142,25.047498,2608.695652,"low"
"597",121.580841,25.044275,4687.5,"high"
"598",121.551875,25.084088,2500,"high"
"599",121.537948,25.051784,1899.328859,"low"
"600",121.538983,25.055108,1500,"high"
"601",121.54156,25.078606,666.6666667,"medium"
"602",121.51395,25.049488,2080,"low"
"603",121.538203,25.033078,1714.285714,"high"
"604",121.515833,25.049103,1492.537313,"low"
"605",121.565242,25.041292,7000,"high"
"606",121.548478,25.047618,3125,"high"
"607",121.546008,25.044847,15034.48276,"high"
"608",121.514099,25.054675,1857.142857,"low"
"609",121.533245,25.04458,2972.972973,"low"
"610",121.558091,25.05132,1600,"low"
"611",121.547798,25.024482,2250,"high"
"612",121.552583,25.031251,6500,"high"
"613",121.517376,25.034307,3000,"high"
"614",121.546008,25.044847,2424.242424,"high"
"615",121.55801,25.048635,2398.989899,"low"
"616",121.55801,25.048635,2600,"low"
"617",121.558091,25.05132,2196.969697,"low"
"618",121.549328,25.047842,4666.666667,"low"
"619",121.514099,25.054675,1842.105263,"low"
"620",121.523746,25.045626,1320.754717,"high"
"621",121.544131,25.047256,3488.372093,"high"
"622",121.554355,25.031859,3000,"high"
"623",121.533131,25.045912,3750,"high"
"624",121.539794,25.058057,2142.857143,"high"
"625",121.514358,25.059641,2320,"low"
"626",121.507142,25.047498,2608.695652,"low"
"627",121.505547,25.034076,1172.413793,"low"
"628",121.559115,25.085345,1282.442748,"medium"
"629",121.519611,25.046198,3437.5,"high"
"630",121.538203,25.033078,2222.222222,"high"
"631",121.53338,25.042029,5806.451613,"high"
"632",121.537948,25.051784,5000,"low"
"633",121.514276,25.046205,1417.322835,"high"
"634",121.537596,25.008783,1200,"medium"
"635",121.524659,25.023391,2857.142857,"high"
"636",121.521748,25.063948,1206.349206,"high"
"637",121.55643,25.058239,1785.714286,"low"
"638",121.530343,25.042799,2461.538462,"high"
